# H_mag Reff type
  19.20  290  1
  19.43  573  1
  18.85  664  0
  19.95  503  1
  20.10  207  0
  19.58  548  0
  20.22  409  1
  20.03  469  1
  21.13  496  1
  21.47  373  1
  20.93  510  0
  20.59  293  1
  21.48  535  0
  20.99  534  1
  20.67  305  1
  20.83  315  1
  22.34  457  1
  22.05  449  1
  21.64  223  1
  21.75  329  1
  22.19  443  1
  22.00  167  1
  21.74  257  1
  21.69  480  1
  22.17  436  1
  21.52  484  1
  22.15  230  1
  21.75  448  1
  21.56  394  1
  22.47  301  1
  21.99  397  0
  22.87  303  1
  22.58  151  1
  23.04  423  1
  22.70  411  1
  23.38  400  1
  22.69  180  1
  23.49  185  1
  23.24  189  1
  23.11  332  1
  22.54  307  1
  23.30  207  1
  22.84  342  1
  23.27  414  1
  23.41  259  1
  22.58  323  1
  23.13  323  1
  22.95  202  1
  23.49  245  1
  23.49  401  1
  22.79  256  1
  23.04  341  1
  22.91  370  1
  23.47  280  1
  23.40  216  1
  23.28  152  1
  22.56  219  1
  22.62  229  1
  24.47  266  1
  24.08  357  1
  23.64  187  1
  23.91  214  1
  23.93  293  1
  24.17  347  1
  23.73  135  1
  23.98  348  1
  23.60  270  1
  24.18  123  1
  23.93  352  1
  23.54  279  1
  24.19  251  1
  24.49  235  1
  23.96  277  1
  23.60  326  1
  23.87  275  1
  23.86  132  1
  24.04  237  1
  23.97  354  1
  24.13  342  1
  23.68  141  1
  24.49  242  1
  24.35  355  1
  23.54  141  1
  23.86  285  1
  23.92  235  1
  24.35  185  1
  23.96  135  1
  23.75  122  1
  23.90  272  1
  23.99  123  1
  23.75  126  1
  23.75  356  1
  24.43  360  1
  23.72  131  1
  23.60  140  1
  24.32  183  1
  23.78  225  1
  23.69  357  1
  24.46  304  1
  24.39  340  1
  23.58  244  1
  23.72  283  1
  24.26  217  1
  23.77  191  1
  23.61  330  1
  23.71  128  1
  24.51  252  1
  24.82  291  1
  24.84  287  1
  25.35  116  1
  24.81  115  1
  25.12  286  1
  25.12  247  1
  25.02  146  0
  25.42  245  1
  25.50  282  1
  24.87  156  1
  24.53  121  1
  25.05  113  1
  25.09  112  1
  25.06  220  1
  25.08  189  1
  24.91  100  1
  25.15  243  1
  24.71  137  1
  24.88  220  1
  25.48  230  1
  24.78  196  1
  24.81  192  1
  25.39  257  1
  24.95  138  1
  25.31  245  1
  25.22  198  1
  25.28  147  1
  24.94  242  1
  25.12  277  1
  25.11  135  1
  24.85  297  1
  25.49  173  1
  25.40  292  1
  25.22  288  1
  24.97  100  1
  25.39  102  1
  24.53  157  1
  24.65  153  1
